date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:27	179071/179071	---M-Z	200	added ('OK')	text/html	etag:%222bb7f-53287be6d1d9e-gzip%22	http://spectr-html.weblionmedia.net/index.html	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/spectr-html.weblionmedia.net/index.html	(from )
12:27:28	301/301	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Dec%202016%2005:27:29%20GMT	http://spectr-html.weblionmedia.net/robots.txt		(from )
12:27:29	1899/1899	---M--	200	added ('OK')	image/png	etag:%22d2723f78b6df6457d6cadd8868e08c26%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-57x57.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-57x57.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:30	1957/1957	---M--	200	added ('OK')	image/png	etag:%223d134942c8cd7224c1840ddd3c9a6e43%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-60x60.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-60x60.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:32	2146/2146	---M--	200	added ('OK')	image/png	etag:%22dc2d102029c15194162e1c953d0313eb%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-72x72.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-72x72.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:33	2227/2227	---M--	200	added ('OK')	image/png	etag:%2231b5d982b3587fe54f1fb9d3816dccad%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-76x76.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-76x76.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:35	4821/4821	---M--	200	added ('OK')	image/png	etag:%2274d5f4cab5bd1f149d3752d348a23115%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-114x114.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-114x114.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:36	5072/5072	---M--	200	added ('OK')	image/png	etag:%2295ac704338e6bf143ccc6fa51e0155f1%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-120x120.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-120x120.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:37	5998/5998	---M--	200	added ('OK')	image/png	etag:%226d738e531d7eec3a7eb7805a3d0231b6%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-144x144.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-144x144.png	(from http://spectr-html.weblionmedia.net/index.html)
12:27:39	6403/6403	---M--	200	added ('OK')	image/png	etag:%22f9de1fff2fa9a2117fed81e80f01f257%22	https://s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-152x152.png	C:/Users/user/Documents/primauidesign.github.io/portfolio/magazine/SPECTR/s3.amazonaws.com/weblionmedia-spectr/img/favicon/apple-icon-152x152.png	(from http://spectr-html.weblionmedia.net/index.html)
